### RESULTS ###
benchmark: setbrk_overhead
description: changes the heap break which requires an MPU update
run, cycles, break, break_decimal
342, 6510, 0x10009ab8, 268475064
343, 6510, 0x10009ac0, 268475072
344, 6510, 0x10009ac8, 268475080
345, 6510, 0x10009ad0, 268475088
346, 6510, 0x10009ad8, 268475096
347, 6510, 0x10009ae0, 268475104
348, 6510, 0x10009ae8, 268475112
349, 6510, 0x10009af0, 268475120
350, 6510, 0x10009af8, 268475128
351, 6510, 0x10009b00, 268475136
352, 6510, 0x10009b08, 268475144
353, 6510, 0x10009b10, 268475152
354, 6510, 0x10009b18, 268475160
355, 6510, 0x10009b20, 268475168
356, 6510, 0x10009b28, 268475176
357, 6510, 0x10009b30, 268475184
358, 6510, 0x10009b38, 268475192
359, 6510, 0x10009b40, 268475200
360, 6510, 0x10009b48, 268475208
361, 6510, 0x10009b50, 268475216
362, 6510, 0x10009b58, 268475224
363, 6510, 0x10009b60, 268475232
364, 6510, 0x10009b68, 268475240
365, 6510, 0x10009b70, 268475248
366, 6510, 0x10009b78, 268475256
367, 6510, 0x10009b80, 268475264
368, 6510, 0x10009b88, 268475272
369, 6510, 0x10009b90, 268475280
370, 6510, 0x10009b98, 268475288
371, 6510, 0x10009ba0, 268475296
372, 6510, 0x10009ba8, 268475304
373, 6510, 0x10009bb0, 268475312
374, 6510, 0x10009bb8, 268475320
375, 6510, 0x10009bc0, 268475328
376, 6510, 0x10009bc8, 268475336
377, 6510, 0x10009bd0, 268475344
378, 6510, 0x10009bd8, 268475352
379, 6510, 0x10009be0, 268475360
380, 6510, 0x10009be8, 268475368
381, 6510, 0x10009bf0, 268475376
382, 6510, 0x10009bf8, 268475384
383, 6510, 0x10009c00, 268475392
384, 6510, 0x10009c08, 268475400
385, 6510, 0x10009c10, 268475408
386, 6510, 0x10009c18, 268475416
387, 6510, 0x10009c20, 268475424
388, 6510, 0x10009c28, 268475432
389, 6510, 0x10009c30, 268475440
390, 6510, 0x10009c38, 268475448
391, 6510, 0x10009c40, 268475456
392, 6510, 0x10009c48, 268475464
393, 6510, 0x10009c50, 268475472
394, 6510, 0x10009c58, 268475480
395, 6510, 0x10009c60, 268475488
396, 6510, 0x10009c68, 268475496
397, 6510, 0x10009c70, 268475504
398, 6510, 0x10009c78, 268475512
399, 6510, 0x10009c80, 268475520
400, 6510, 0x10009c88, 268475528
401, 6510, 0x10009c90, 268475536
402, 6510, 0x10009c98, 268475544
403, 6510, 0x10009ca0, 268475552
404, 6510, 0x10009ca8, 268475560
405, 6510, 0x10009cb0, 268475568
406, 6510, 0x10009cb8, 268475576
407, 6510, 0x10009cc0, 268475584
408, 6510, 0x10009cc8, 268475592
409, 6510, 0x10009cd0, 268475600
410, 6510, 0x10009cd8, 268475608
411, 6510, 0x10009ce0, 268475616
412, 6510, 0x10009ce8, 268475624
413, 6510, 0x10009cf0, 268475632
414, 6510, 0x10009cf8, 268475640
415, 6510, 0x10009d00, 268475648
416, 6510, 0x10009d08, 268475656
417, 6510, 0x10009d10, 268475664
418, 6510, 0x10009d18, 268475672
419, 6510, 0x10009d20, 268475680
420, 6510, 0x10009d28, 268475688
421, 6510, 0x10009d30, 268475696
422, 6510, 0x10009d38, 268475704
423, 6510, 0x10009d40, 268475712
424, 6510, 0x10009d48, 268475720
425, 6510, 0x10009d50, 268475728
426, 6510, 0x10009d58, 268475736
427, 6510, 0x10009d60, 268475744
428, 6510, 0x10009d68, 268475752
429, 6510, 0x10009d70, 268475760
430, 6510, 0x10009d78, 268475768
431, 6510, 0x10009d80, 268475776
432, 6510, 0x10009d88, 268475784
433, 6510, 0x10009d90, 268475792
434, 6510, 0x10009d98, 268475800
435, 6510, 0x10009da0, 268475808
436, 6510, 0x10009da8, 268475816
437, 6510, 0x10009db0, 268475824
438, 6510, 0x10009db8, 268475832
439, 6510, 0x10009dc0, 268475840
440, 6510, 0x10009dc8, 268475848
441, 6510, 0x10009dd0, 268475856
442, 6510, 0x10009dd8, 268475864
443, 6510, 0x10009de0, 268475872
444, 6510, 0x10009de8, 268475880
445, 6510, 0x10009df0, 268475888
446, 6510, 0x10009df8, 268475896
447, 6510, 0x10009e00, 268475904
448, 6510, 0x10009e08, 268475912
449, 6510, 0x10009e10, 268475920
450, 6510, 0x10009e18, 268475928
451, 6510, 0x10009e20, 268475936
452, 6510, 0x10009e28, 268475944
453, 6510, 0x10009e30, 268475952
454, 6510, 0x10009e38, 268475960
455, 6510, 0x10009e40, 268475968
456, 6510, 0x10009e48, 268475976
457, 6510, 0x10009e50, 268475984
458, 6510, 0x10009e58, 268475992
459, 6510, 0x10009e60, 268476000
460, 6510, 0x10009e68, 268476008
461, 6510, 0x10009e70, 268476016
462, 6510, 0x10009e78, 268476024
463, 6510, 0x10009e80, 268476032
464, 6510, 0x10009e88, 268476040
465, 6510, 0x10009e90, 268476048
466, 6510, 0x10009e98, 268476056
467, 6510, 0x10009ea0, 268476064
468, 6510, 0x10009ea8, 268476072
469, 6510, 0x10009eb0, 268476080
470, 6510, 0x10009eb8, 268476088
471, 6510, 0x10009ec0, 268476096
472, 6510, 0x10009ec8, 268476104
473, 6510, 0x10009ed0, 268476112
474, 6510, 0x10009ed8, 268476120
475, 6510, 0x10009ee0, 268476128
476, 6510, 0x10009ee8, 268476136
477, 6510, 0x10009ef0, 268476144
478, 6510, 0x10009ef8, 268476152
479, 6510, 0x10009f00, 268476160
480, 6510, 0x10009f08, 268476168
481, 6510, 0x10009f10, 268476176
482, 6510, 0x10009f18, 268476184
483, 6510, 0x10009f20, 268476192
484, 6510, 0x10009f28, 268476200
485, 6510, 0x10009f30, 268476208
486, 6510, 0x10009f38, 268476216
487, 6510, 0x10009f40, 268476224
488, 6510, 0x10009f48, 268476232
489, 6510, 0x10009f50, 268476240
490, 6510, 0x10009f58, 268476248
491, 6510, 0x10009f60, 268476256
492, 6510, 0x10009f68, 268476264
493, 6510, 0x10009f70, 268476272
494, 6510, 0x10009f78, 268476280
495, 6510, 0x10009f80, 268476288
496, 6510, 0x10009f88, 268476296
497, 6510, 0x10009f90, 268476304
498, 6510, 0x10009f98, 268476312
499, 6510, 0x10009fa0, 268476320
500, 6510, 0x10009fa8, 268476328
501, 6510, 0x10009fb0, 268476336
502, 6510, 0x10009fb8, 268476344
503, 6510, 0x10009fc0, 268476352
504, 6510, 0x10009fc8, 268476360
505, 6510, 0x10009fd0, 268476368
506, 6510, 0x10009fd8, 268476376
507, 6510, 0x10009fe0, 268476384
508, 6510, 0x10009fe8, 268476392
509, 6510, 0x10009ff0, 268476400
510, 6510, 0x10009ff8, 268476408
511, 6510, 0x1000a000, 268476416
512, 6510, 0x1000a008, 268476424
513, 6510, 0x1000a010, 268476432
514, 6510, 0x1000a018, 268476440
515, 6510, 0x1000a020, 268476448
516, 6510, 0x1000a028, 268476456
517, 6510, 0x1000a030, 268476464
518, 6510, 0x1000a038, 268476472
519, 6510, 0x1000a040, 268476480
520, 6510, 0x1000a048, 268476488
521, 6510, 0x1000a050, 268476496
522, 6510, 0x1000a058, 268476504
523, 6510, 0x1000a060, 268476512
524, 6510, 0x1000a068, 268476520
525, 6510, 0x1000a070, 268476528
526, 6510, 0x1000a078, 268476536
527, 6510, 0x1000a080, 268476544
528, 6510, 0x1000a088, 268476552
529, 6510, 0x1000a090, 268476560
530, 6510, 0x1000a098, 268476568
531, 6510, 0x1000a0a0, 268476576
532, 6510, 0x1000a0a8, 268476584
533, 6510, 0x1000a0b0, 268476592
534, 6510, 0x1000a0b8, 268476600
535, 6510, 0x1000a0c0, 268476608
536, 6510, 0x1000a0c8, 268476616
537, 6510, 0x1000a0d0, 268476624
538, 6510, 0x1000a0d8, 268476632
539, 6510, 0x1000a0e0, 268476640
540, 6510, 0x1000a0e8, 268476648
541, 6510, 0x1000a0f0, 268476656
542, 6510, 0x1000a0f8, 268476664
543, 6510, 0x1000a100, 268476672
544, 6510, 0x1000a108, 268476680
545, 6510, 0x1000a110, 268476688
546, 6510, 0x1000a118, 268476696
547, 6510, 0x1000a120, 268476704
548, 6510, 0x1000a128, 268476712
549, 6510, 0x1000a130, 268476720
550, 6510, 0x1000a138, 268476728
551, 6510, 0x1000a140, 268476736
552, 6510, 0x1000a148, 268476744
553, 6510, 0x1000a150, 268476752
554, 6510, 0x1000a158, 268476760
555, 6510, 0x1000a160, 268476768
556, 6510, 0x1000a168, 268476776
557, 6510, 0x1000a170, 268476784
558, 6510, 0x1000a178, 268476792
559, 6510, 0x1000a180, 268476800
560, 6510, 0x1000a188, 268476808
561, 6510, 0x1000a190, 268476816
562, 6510, 0x1000a198, 268476824
563, 6510, 0x1000a1a0, 268476832
564, 6510, 0x1000a1a8, 268476840
565, 6510, 0x1000a1b0, 268476848
566, 6510, 0x1000a1b8, 268476856
567, 6510, 0x1000a1c0, 268476864
568, 6510, 0x1000a1c8, 268476872
569, 6510, 0x1000a1d0, 268476880
570, 6510, 0x1000a1d8, 268476888
571, 6510, 0x1000a1e0, 268476896
572, 6510, 0x1000a1e8, 268476904
573, 6510, 0x1000a1f0, 268476912
574, 6510, 0x1000a1f8, 268476920
575, 6510, 0x1000a200, 268476928
576, 6510, 0x1000a208, 268476936
577, 6510, 0x1000a210, 268476944
578, 6510, 0x1000a218, 268476952
579, 6510, 0x1000a220, 268476960
580, 6510, 0x1000a228, 268476968
581, 6510, 0x1000a230, 268476976
582, 6510, 0x1000a238, 268476984
583, 6510, 0x1000a240, 268476992
584, 6510, 0x1000a248, 268477000
585, 6510, 0x1000a250, 268477008
586, 6510, 0x1000a258, 268477016
587, 6510, 0x1000a260, 268477024
588, 6510, 0x1000a268, 268477032
589, 6510, 0x1000a270, 268477040
590, 6510, 0x1000a278, 268477048
591, 6510, 0x1000a280, 268477056
592, 6510, 0x1000a288, 268477064
593, 6510, 0x1000a290, 268477072
594, 6510, 0x1000a298, 268477080
595, 6510, 0x1000a2a0, 268477088
596, 6510, 0x1000a2a8, 268477096
597, 6510, 0x1000a2b0, 268477104
598, 6510, 0x1000a2b8, 268477112
599, 6510, 0x1000a2c0, 268477120
600, 6510, 0x1000a2c8, 268477128
601, 6510, 0x1000a2d0, 268477136
602, 6510, 0x1000a2d8, 268477144
603, 6510, 0x1000a2e0, 268477152
604, 6510, 0x1000a2e8, 268477160
605, 6510, 0x1000a2f0, 268477168
606, 6510, 0x1000a2f8, 268477176
607, 6510, 0x1000a300, 268477184
608, 6510, 0x1000a308, 268477192
609, 6510, 0x1000a310, 268477200
610, 6510, 0x1000a318, 268477208
611, 6510, 0x1000a320, 268477216
612, 6510, 0x1000a328, 268477224
613, 6510, 0x1000a330, 268477232
614, 6510, 0x1000a338, 268477240
615, 6510, 0x1000a340, 268477248
616, 6510, 0x1000a348, 268477256
617, 6510, 0x1000a350, 268477264
618, 6510, 0x1000a358, 268477272
619, 6510, 0x1000a360, 268477280
620, 6510, 0x1000a368, 268477288
621, 6510, 0x1000a370, 268477296
622, 6510, 0x1000a378, 268477304
623, 6510, 0x1000a380, 268477312
624, 6510, 0x1000a388, 268477320
625, 6510, 0x1000a390, 268477328
626, 6510, 0x1000a398, 268477336
627, 6510, 0x1000a3a0, 268477344
628, 6510, 0x1000a3a8, 268477352
629, 6510, 0x1000a3b0, 268477360
630, 6510, 0x1000a3b8, 268477368
631, 6510, 0x1000a3c0, 268477376
632, 6510, 0x1000a3c8, 268477384
633, 6510, 0x1000a3d0, 268477392
634, 6510, 0x1000a3d8, 268477400
635, 6510, 0x1000a3e0, 268477408
636, 6510, 0x1000a3e8, 268477416
637, 6510, 0x1000a3f0, 268477424
638, 6510, 0x1000a3f8, 268477432
639, 6510, 0x1000a400, 268477440
640, 6510, 0x1000a408, 268477448
641, 6510, 0x1000a410, 268477456
642, 6510, 0x1000a418, 268477464
643, 6510, 0x1000a420, 268477472
644, 6510, 0x1000a428, 268477480
645, 6510, 0x1000a430, 268477488
646, 6510, 0x1000a438, 268477496
647, 6510, 0x1000a440, 268477504
648, 6510, 0x1000a448, 268477512
649, 6510, 0x1000a450, 268477520
650, 6510, 0x1000a458, 268477528
651, 6510, 0x1000a460, 268477536
652, 6510, 0x1000a468, 268477544
653, 6510, 0x1000a470, 268477552
654, 6510, 0x1000a478, 268477560
655, 6510, 0x1000a480, 268477568
656, 6510, 0x1000a488, 268477576
657, 6510, 0x1000a490, 268477584
658, 6510, 0x1000a498, 268477592
659, 6510, 0x1000a4a0, 268477600
660, 6510, 0x1000a4a8, 268477608
661, 6510, 0x1000a4b0, 268477616
662, 6510, 0x1000a4b8, 268477624
663, 6510, 0x1000a4c0, 268477632
664, 6510, 0x1000a4c8, 268477640
665, 6510, 0x1000a4d0, 268477648
666, 6510, 0x1000a4d8, 268477656
667, 6510, 0x1000a4e0, 268477664
668, 6510, 0x1000a4e8, 268477672
669, 6510, 0x1000a4f0, 268477680
670, 6510, 0x1000a4f8, 268477688
671, 6510, 0x1000a500, 268477696
672, 6510, 0x1000a508, 268477704
673, 6510, 0x1000a510, 268477712
674, 6510, 0x1000a518, 268477720
675, 6510, 0x1000a520, 268477728
676, 6510, 0x1000a528, 268477736
677, 6510, 0x1000a530, 268477744
678, 6510, 0x1000a538, 268477752
679, 6510, 0x1000a540, 268477760
680, 6510, 0x1000a548, 268477768
681, 6510, 0x1000a550, 268477776
682, 6510, 0x1000a558, 268477784
683, 6510, 0x1000a560, 268477792
684, 6510, 0x1000a568, 268477800
685, 6510, 0x1000a570, 268477808
686, 6510, 0x1000a578, 268477816
687, 6510, 0x1000a580, 268477824
688, 6510, 0x1000a588, 268477832
689, 6510, 0x1000a590, 268477840
690, 6510, 0x1000a598, 268477848
691, 6510, 0x1000a5a0, 268477856
692, 6510, 0x1000a5a8, 268477864
693, 6510, 0x1000a5b0, 268477872
694, 6510, 0x1000a5b8, 268477880
695, 6510, 0x1000a5c0, 268477888
696, 6510, 0x1000a5c8, 268477896
697, 6510, 0x1000a5d0, 268477904
698, 6510, 0x1000a5d8, 268477912
699, 6510, 0x1000a5e0, 268477920
700, 6510, 0x1000a5e8, 268477928
701, 6510, 0x1000a5f0, 268477936
702, 6510, 0x1000a5f8, 268477944
703, 6510, 0x1000a600, 268477952
704, 6510, 0x1000a608, 268477960
705, 6510, 0x1000a610, 268477968
706, 6510, 0x1000a618, 268477976
707, 6510, 0x1000a620, 268477984
708, 6510, 0x1000a628, 268477992
709, 6510, 0x1000a630, 268478000
710, 6510, 0x1000a638, 268478008
711, 6510, 0x1000a640, 268478016
712, 6510, 0x1000a648, 268478024
713, 6510, 0x1000a650, 268478032
714, 6510, 0x1000a658, 268478040
715, 6510, 0x1000a660, 268478048
716, 6510, 0x1000a668, 268478056
717, 6510, 0x1000a670, 268478064
718, 6510, 0x1000a678, 268478072
719, 6510, 0x1000a680, 268478080
720, 6510, 0x1000a688, 268478088
721, 6510, 0x1000a690, 268478096
722, 6510, 0x1000a698, 268478104
723, 6510, 0x1000a6a0, 268478112
